or_w,or_x,or_y,or_z
0.772854,-0.057266,0.617326,-0.135377
0.772854,-0.057266,0.617326,-0.135377
0.772854,-0.057266,0.617326,-0.135377
0.772855,-0.0572643,0.617324,-0.135377
0.772861,-0.0572437,0.617317,-0.135383
0.772879,-0.0572141,0.617297,-0.135384
0.772879,-0.0572141,0.617297,-0.135384
0.772936,-0.05727,0.617231,-0.135334
0.772982,-0.0573515,0.617173,-0.135302
0.772982,-0.0573515,0.617173,-0.135302
0.773209,-0.0576093,0.616906,-0.135114
0.773209,-0.0576093,0.616906,-0.135114
0.773419,-0.0577733,0.616667,-0.13493
0.774058,-0.0581861,0.615943,-0.134399
0.774494,-0.0584779,0.615447,-0.134027
0.775016,-0.0588421,0.614853,-0.13358
0.775637,-0.0592924,0.614138,-0.133064
0.776349,-0.0598147,0.61332,-0.132452
0.777159,-0.0604196,0.612385,-0.131749
0.778073,-0.0611186,0.611325,-0.130951
0.778073,-0.0611186,0.611325,-0.130951
0.779095,-0.0618932,0.610138,-0.13005
0.781434,-0.0636547,0.607406,-0.127933
0.781434,-0.0636547,0.607406,-0.127933
0.78417,-0.0657582,0.604187,-0.125347
0.785669,-0.0669238,0.602417,-0.123851
0.78727,-0.0681194,0.600504,-0.12231
0.78727,-0.0681194,0.600504,-0.12231
0.788964,-0.0693442,0.598463,-0.120702
0.790763,-0.0705588,0.596275,-0.119044
0.792646,-0.0717969,0.593977,-0.117259
0.7946,-0.0731186,0.591573,-0.11535
0.796609,-0.0745139,0.589085,-0.113315
0.798693,-0.0759346,0.586471,-0.111241
0.80307,-0.078724,0.580887,-0.107015
0.80307,-0.078724,0.580887,-0.107015
0.807635,-0.0815737,0.574958,-0.102449
0.807635,-0.0815737,0.574958,-0.102449
0.809983,-0.0828679,0.571859,-0.100192
0.81239,-0.0841597,0.568639,-0.0979268
0.817286,-0.0869519,0.561997,-0.0929572
0.817286,-0.0869519,0.561997,-0.0929572
0.822255,-0.0894736,0.555105,-0.0880296
0.822255,-0.0894736,0.555105,-0.0880296
0.827295,-0.0919544,0.547927,-0.0830801
0.827295,-0.0919544,0.547927,-0.0830801
0.829825,-0.0931611,0.544271,-0.0805042
0.832384,-0.0942483,0.540525,-0.0780193
0.834947,-0.0953521,0.536722,-0.0755082
0.837501,-0.0964745,0.532884,-0.072937
0.840043,-0.0974728,0.529026,-0.0704134
0.845146,-0.0991799,0.521144,-0.0655736
0.845146,-0.0991799,0.521144,-0.0655736
0.847667,-0.100058,0.517168,-0.0631315
0.852704,-0.10154,0.509104,-0.0582898
0.852704,-0.10154,0.509104,-0.0582898
0.857676,-0.102973,0.500923,-0.0535251
0.857676,-0.102973,0.500923,-0.0535251
0.862578,-0.103959,0.492694,-0.049027
0.862578,-0.103959,0.492694,-0.049027
0.867399,-0.104953,0.484376,-0.0445439
0.867399,-0.104953,0.484376,-0.0445439
0.872145,-0.105448,0.476042,-0.0403547
0.872145,-0.105448,0.476042,-0.0403547
0.876806,-0.10602,0.467616,-0.0361295
0.876806,-0.10602,0.467616,-0.0361295
0.881352,-0.106086,0.459259,-0.0323299
0.883587,-0.106185,0.455052,-0.0304487
0.885783,-0.106307,0.450862,-0.028482
0.885783,-0.106307,0.450862,-0.028482
0.890111,-0.106028,0.442531,-0.0250235
0.890111,-0.106028,0.442531,-0.0250235
0.894341,-0.10582,0.434153,-0.0216187
0.894341,-0.10582,0.434153,-0.0216187
0.898436,-0.105307,0.425889,-0.0185127
0.898436,-0.105307,0.425889,-0.0185127
0.900442,-0.104992,0.421767,-0.0171163
0.902411,-0.104791,0.417648,-0.0156159
0.904352,-0.10454,0.413545,-0.0141378
0.906256,-0.104119,0.409506,-0.0128385
0.908152,-0.103651,0.405439,-0.0116073
0.911832,-0.102873,0.397362,-0.0090881
0.913617,-0.102439,0.393381,-0.00787712
0.915373,-0.101942,0.389428,-0.0067691
0.917114,-0.101454,0.385456,-0.00566699
0.917114,-0.101454,0.385456,-0.00566699
0.92048,-0.100509,0.377627,-0.00350432
0.922108,-0.100029,0.373771,-0.00245606
0.923721,-0.0995041,0.369914,-0.00148254
0.923721,-0.0995041,0.369914,-0.00148254
0.926868,-0.0984195,0.362255,0.000406766
0.926868,-0.0984195,0.362255,0.000406766
0.928387,-0.0978698,0.358494,0.00134451
0.931327,-0.0968496,0.351055,0.00313803
0.932757,-0.096338,0.347373,0.00402422
0.934167,-0.0957934,0.343702,0.00490416
0.935549,-0.0952104,0.340074,0.00575056
0.935549,-0.0952104,0.340074,0.00575056
0.938209,-0.0941646,0.332929,0.0074361
0.939488,-0.0937024,0.329412,0.00832782
0.940737,-0.0931918,0.325953,0.00918887
0.940737,-0.0931918,0.325953,0.00918887
0.943178,-0.0920043,0.319112,0.0108908
0.944359,-0.0913734,0.315752,0.0117306
0.945503,-0.0907946,0.312444,0.0126508
0.945503,-0.0907946,0.312444,0.0126508
0.947631,-0.0896336,0.306184,0.0145862
0.948644,-0.0889776,0.303174,0.0155606
0.949631,-0.0882511,0.300233,0.0165255
0.949631,-0.0882511,0.300233,0.0165255
0.951522,-0.0866239,0.294547,0.0185462
0.951522,-0.0866239,0.294547,0.0185462
0.952396,-0.0857628,0.291894,0.0195978
0.953217,-0.0848862,0.289385,0.0206712
0.954732,-0.083042,0.28473,0.0228123
0.954732,-0.083042,0.28473,0.0228123
0.956119,-0.0809469,0.280459,0.0250206
0.956777,-0.0797653,0.278448,0.0261215
0.957407,-0.0785013,0.276534,0.0271609
0.957407,-0.0785013,0.276534,0.0271609
0.958548,-0.0759072,0.273062,0.0293406
0.959052,-0.0746533,0.271501,0.0305352
0.959526,-0.0733603,0.270037,0.0317442
0.959977,-0.0719809,0.268661,0.0329196
0.959977,-0.0719809,0.268661,0.0329196
0.960401,-0.0705144,0.267385,0.034088
0.961172,-0.0673677,0.265102,0.0364862
0.961523,-0.065708,0.264076,0.0376668
0.961843,-0.0640239,0.263152,0.0388585
0.962125,-0.0623358,0.262339,0.0401033
0.962369,-0.0606445,0.261638,0.041406
0.962587,-0.0589548,0.261008,0.0427351
0.962788,-0.0571963,0.260436,0.0440599
0.962788,-0.0571963,0.260436,0.0440599
0.963185,-0.0534561,0.259335,0.0464947
0.963185,-0.0534561,0.259335,0.0464947
0.963361,-0.051531,0.258844,0.0477493
0.963498,-0.049633,0.258454,0.049093
0.9636,-0.0477464,0.258157,0.0504932
0.963759,-0.0438957,0.257727,0.0530913
0.963759,-0.0438957,0.257727,0.0530913
0.963817,-0.0419437,0.257562,0.0544078
0.963868,-0.0380638,0.257334,0.0573404
0.963868,-0.0380638,0.257334,0.0573404
0.963925,-0.0339691,0.257078,0.0600381
0.963925,-0.0339691,0.257078,0.0600381
0.963898,-0.0298528,0.257018,0.0628526
0.963844,-0.0279179,0.257041,0.0644573
0.963789,-0.0259835,0.257056,0.0660138
0.963789,-0.0259835,0.257056,0.0660138
0.963659,-0.021892,0.257169,0.0688994
0.963572,-0.0198446,0.257243,0.0704301
0.963572,-0.0198446,0.257243,0.0704301
0.963399,-0.015892,0.257269,0.0736361
0.963301,-0.013848,0.257295,0.0752193
0.963301,-0.013848,0.257295,0.0752193
0.963074,-0.00979903,0.257412,0.0783101
0.962933,-0.00786244,0.257496,0.0799555
0.962782,-0.00598943,0.25757,0.0816878
0.962625,-0.0041275,0.257638,0.0834229
0.962487,-0.00223033,0.257637,0.0850695
0.962487,-0.00223033,0.257637,0.0850695
0.962188,0.00173195,0.257688,0.0882474
0.962025,0.00365691,0.257702,0.0899132
0.961865,0.00552421,0.257682,0.0915714
0.961865,0.00552421,0.257682,0.0915714
0.961494,0.00925954,0.257762,0.0948819
0.961494,0.00925954,0.257762,0.0948819
0.961106,0.0128872,0.257861,0.0980627
0.960919,0.0146562,0.257869,0.0996173
0.960735,0.016411,0.257853,0.101143
0.960544,0.0181771,0.257856,0.102645
0.960366,0.0199336,0.257806,0.104093
0.960366,0.0199336,0.257806,0.104093
0.96003,0.0234311,0.25766,0.106794
0.959863,0.0251408,0.257583,0.108084
0.959697,0.0267908,0.257497,0.109356
0.959697,0.0267908,0.257497,0.109356
0.959423,0.0299228,0.257187,0.111652
0.959304,0.0314603,0.257008,0.112665
0.95919,0.0329877,0.256836,0.113585
0.959093,0.0344696,0.256623,0.114447
0.959001,0.0359051,0.256409,0.115248
0.959001,0.0359051,0.256409,0.115248
0.958924,0.0372933,0.256158,0.116002
0.95886,0.0386879,0.25588,0.116685
0.958813,0.0400953,0.255584,0.11725
0.958761,0.0429539,0.254906,0.118137
0.958756,0.0443027,0.254505,0.118536
0.958756,0.0443027,0.254505,0.118536
0.958781,0.0468156,0.25362,0.119263
0.958828,0.0480081,0.253115,0.119489
0.958898,0.0491327,0.252555,0.119654
0.958898,0.0491327,0.252555,0.119654
0.959077,0.0508943,0.25122,0.120292
0.959077,0.0508943,0.25122,0.120292
0.959192,0.0515894,0.250434,0.120715
0.959347,0.0522148,0.24953,0.121085
0.959767,0.053122,0.247326,0.12188
0.959767,0.053122,0.247326,0.12188
0.960009,0.0533577,0.246062,0.122435
0.960281,0.0535074,0.244649,0.123063
0.960898,0.0537657,0.241536,0.124276
0.960898,0.0537657,0.241536,0.124276
0.961226,0.0539424,0.239916,0.124801
0.961584,0.0539546,0.238153,0.12541
0.961947,0.0537757,0.236324,0.126162
0.962318,0.0534729,0.234438,0.126981
0.962726,0.0530354,0.232413,0.127787
0.963169,0.0524327,0.230212,0.128683
0.963643,0.0517006,0.227819,0.129684
0.964144,0.0509369,0.225233,0.130777
0.964667,0.0501708,0.222467,0.131944
0.965196,0.0493516,0.219581,0.133213
0.96623,0.0474609,0.213561,0.136154
0.96623,0.0474609,0.213561,0.136154
0.966739,0.0463579,0.210409,0.137821
0.967242,0.0451867,0.207139,0.139621
0.967731,0.0439332,0.203776,0.141569
0.968192,0.0425544,0.200345,0.143723
0.968604,0.0410939,0.196899,0.146113
0.968976,0.0395815,0.193419,0.148689
0.969308,0.0380726,0.189897,0.151435
0.969605,0.0365777,0.186294,0.154343
0.969875,0.0350321,0.182546,0.157454
0.97011,0.033478,0.178704,0.160719
0.970419,0.030225,0.170986,0.167742
0.970419,0.030225,0.170986,0.167742
0.970489,0.028557,0.167129,0.171474
0.970507,0.0251987,0.159305,0.179171
0.970451,0.0234847,0.15535,0.183137
0.970451,0.0234847,0.15535,0.183137
0.970317,0.021741,0.151447,0.187284
0.970114,0.0200363,0.147582,0.191563
0.969865,0.0184323,0.143731,0.195866
0.96957,0.0168692,0.139856,0.200223
0.969197,0.0152799,0.13604,0.204734
0.968737,0.0137073,0.132317,0.20941
0.968231,0.01227,0.128613,0.214096
0.967692,0.0109321,0.124917,0.218742
0.967078,0.0095808,0.121252,0.223529
0.966374,0.00825525,0.117761,0.228442
0.965629,0.00703079,0.114306,0.233334
0.964021,0.00469737,0.107288,0.243167
0.963131,0.00360846,0.103956,0.248112
0.963131,0.00360846,0.103956,0.248112
0.96121,0.00154469,0.0973507,0.258063
0.960165,0.00053682,0.0940542,0.263127
0.95912,-0.000292182,0.0908777,0.268011
0.95912,-0.000292182,0.0908777,0.268011
0.956851,-0.00198805,0.0846735,0.27796
0.956851,-0.00198805,0.0846735,0.27796
0.954424,-0.00342063,0.0786605,0.28788
0.953196,-0.00400908,0.0757406,0.292686
0.951839,-0.00472832,0.0729021,0.297768
0.95045,-0.0053395,0.0700996,0.302823
0.94912,-0.00575406,0.0672913,0.307587
0.94912,-0.00575406,0.0672913,0.307587
0.94628,-0.00665021,0.0618825,0.317302
0.944792,-0.00701907,0.0593048,0.322183
0.943343,-0.00726989,0.0566521,0.326866
0.943343,-0.00726989,0.0566521,0.326866
0.940254,-0.00789265,0.0515826,0.336451
0.940254,-0.00789265,0.0515826,0.336451
0.938698,-0.00807744,0.0492309,0.341113
0.93715,-0.00822219,0.0467639,0.345682
0.933866,-0.00856889,0.0420322,0.35504
0.932243,-0.0086121,0.0398419,0.359528
0.93059,-0.00867991,0.03755,0.364028
0.93059,-0.00867991,0.03755,0.364028
0.927198,-0.00869402,0.0331381,0.373002
0.925519,-0.00863208,0.0310089,0.377332
0.923758,-0.00867852,0.0288877,0.381787
0.921967,-0.00870899,0.0267828,0.386244
0.92025,-0.00857323,0.0247369,0.390454
0.92025,-0.00857323,0.0247369,0.390454
0.918538,-0.00843238,0.0226682,0.394592
0.916723,-0.00837154,0.0206629,0.398902
0.913126,-0.00802323,0.0168542,0.40725
0.911354,-0.00780889,0.0149057,0.41128
0.909476,-0.00768109,0.0130468,0.41548
0.909476,-0.00768109,0.0130468,0.41548
0.905825,-0.00719726,0.00948988,0.423485
0.903998,-0.00697334,0.00763426,0.427411
0.902099,-0.00678092,0.00589264,0.431435
0.902099,-0.00678092,0.00589264,0.431435
0.898427,-0.00622318,0.0025097,0.439071
0.898427,-0.00622318,0.0025097,0.439071
0.894598,-0.00578042,-0.000949756,0.446833
0.894598,-0.00578042,-0.000949756,0.446833
0.892763,-0.00543864,-0.00255967,0.450486
0.890922,-0.00511554,-0.00419777,0.454108
0.888983,-0.00489695,-0.00579824,0.457877
0.887043,-0.00463436,-0.0072968,0.461606
0.883301,-0.00397991,-0.0104691,0.468673
0.881347,-0.00376283,-0.0121012,0.4723
0.879416,-0.00351149,-0.0136043,0.475847
0.879416,-0.00351149,-0.0136043,0.475847
0.875632,-0.00308021,-0.0166125,0.482684
0.875632,-0.00308021,-0.0166125,0.482684
0.873649,-0.0029419,-0.0180704,0.486212
0.87174,-0.00268197,-0.0194851,0.489574
0.867956,-0.00215879,-0.0225215,0.496126
0.865987,-0.0019275,-0.0239893,0.499487
0.865987,-0.0019275,-0.0239893,0.499487
0.864103,-0.0016257,-0.0253653,0.502672
0.862226,-0.00138372,-0.0267774,0.505813
0.860259,-0.00126288,-0.0281654,0.509078
0.856435,-0.000894538,-0.0307356,0.515338
0.856435,-0.000894538,-0.0307356,0.515338
0.85263,-0.000603016,-0.0334774,0.521442
0.85263,-0.000603016,-0.0334774,0.521442
0.850724,-0.00045049,-0.0347823,0.524461
0.848925,-0.000249483,-0.0361048,0.527279
0.845142,-0.000118747,-0.0388209,0.53313
0.843276,-4.02296e-05,-0.0400656,0.535985
0.841501,9.58694e-05,-0.0413277,0.538673
0.841501,9.58694e-05,-0.0413277,0.538673
0.839671,0.000149787,-0.0426433,0.541419
0.835971,0.000221518,-0.0450509,0.546921
0.835971,0.000221518,-0.0450509,0.546921
0.834243,0.000306864,-0.0462351,0.549454
0.830578,0.000201433,-0.0486412,0.554775
0.830578,0.000201433,-0.0486412,0.554775
0.828809,0.000219063,-0.0497197,0.557318
0.825338,0.000220305,-0.0520324,0.562237
0.825338,0.000220305,-0.0520324,0.562237
0.823529,0.000130922,-0.0531371,0.56478
0.821802,0.000111408,-0.0541736,0.567192
0.82015,0.000113456,-0.055252,0.569475
0.816696,-0.000102786,-0.0574356,0.574203
0.816696,-0.000102786,-0.0574356,0.574203
0.815019,-0.000168781,-0.0584054,0.576483
0.813431,-0.000207893,-0.0594168,0.578618
0.810177,-0.000408959,-0.0614783,0.582952
0.808574,-0.000489981,-0.0624035,0.585076
0.807055,-0.000506685,-0.063343,0.587068
0.805575,-0.000545257,-0.0643163,0.588992
0.804053,-0.000645621,-0.0652711,0.590963
0.804053,-0.000645621,-0.0652711,0.590963
0.802523,-0.000762019,-0.0661494,0.592942
0.801062,-0.000826999,-0.0670077,0.594819
0.798299,-0.000956031,-0.0687615,0.598323
0.796894,-0.00108913,-0.0695805,0.600098
0.795505,-0.00119789,-0.0703433,0.601849
0.795505,-0.00119789,-0.0703433,0.601849
0.792935,-0.00134793,-0.0718912,0.605049
0.792935,-0.00134793,-0.0718912,0.605049
0.790487,-0.00153766,-0.0733368,0.608071
0.790487,-0.00153766,-0.0733368,0.608071
0.788113,-0.0017627,-0.0746761,0.610981
0.787001,-0.00185985,-0.075299,0.612337
0.785927,-0.00195541,-0.0758742,0.613643
0.784894,-0.00204544,-0.0764194,0.614897
0.783894,-0.00215014,-0.0769415,0.616105
0.782922,-0.00227016,-0.0774409,0.617277
0.781991,-0.00238421,-0.0779126,0.618397
0.781117,-0.0024944,-0.0783523,0.619444
0.780289,-0.00260003,-0.0787517,0.620435
0.780289,-0.00260003,-0.0787517,0.620435
0.778782,-0.00280685,-0.0794119,0.622242
0.778117,-0.00292768,-0.0797116,0.623034
0.777531,-0.0030623,-0.0799948,0.623729
0.777011,-0.00319835,-0.0802245,0.624346
0.776552,-0.00334489,-0.080404,0.624892
0.776552,-0.00334489,-0.080404,0.624892
0.775864,-0.00360707,-0.0805976,0.625721
0.775635,-0.00371568,-0.0805965,0.626003
0.77548,-0.00381725,-0.0805416,0.626202
0.77548,-0.00381725,-0.0805416,0.626202
0.775381,-0.00398794,-0.0802697,0.626359
0.775381,-0.00398794,-0.0802697,0.626359
0.775602,-0.00414375,-0.0798084,0.626143
0.775839,-0.00422763,-0.079504,0.625888
0.776144,-0.0043118,-0.0791676,0.625552
0.776517,-0.00441044,-0.0788109,0.625133
0.776975,-0.00450588,-0.0783914,0.624615
0.776975,-0.00450588,-0.0783914,0.624615
0.778126,-0.00468524,-0.0774406,0.623299
0.778796,-0.00478316,-0.0768801,0.622529
0.779539,-0.00487043,-0.0762503,0.621676
0.779539,-0.00487043,-0.0762503,0.621676
0.781248,-0.00507853,-0.0747955,0.619703
0.782188,-0.0052049,-0.0739775,0.618613
0.782188,-0.0052049,-0.0739775,0.618613
0.784255,-0.00548626,-0.0722316,0.616195
0.785373,-0.00562779,-0.0713147,0.614876
0.786529,-0.00576234,-0.0703665,0.613505
0.787741,-0.00586962,-0.0693956,0.612058
0.787741,-0.00586962,-0.0693956,0.612058
0.789038,-0.005945,-0.0683914,0.610497
0.790386,-0.00600962,-0.0673712,0.608863
0.791755,-0.00608693,-0.0663229,0.607197
0.793148,-0.00618577,-0.0652824,0.605488
0.794564,-0.00629711,-0.0642148,0.603742
0.796013,-0.0063898,-0.0630909,0.601949
0.79752,-0.00646504,-0.061944,0.60007
0.799069,-0.00652591,-0.0607811,0.598123
0.80063,-0.0066014,-0.0596066,0.596151
0.802167,-0.00669357,-0.0584148,0.594198
0.803709,-0.00678238,-0.057234,0.592224
0.805319,-0.00682416,-0.0560688,0.590145
0.806978,-0.00685775,-0.054931,0.587981
0.810187,-0.00702652,-0.0526532,0.58376
0.811795,-0.00708906,-0.051501,0.581624
0.813489,-0.00705926,-0.05037,0.579352
0.815191,-0.00701522,-0.0493027,0.577048
0.815191,-0.00701522,-0.0493027,0.577048
0.818412,-0.00698751,-0.0471469,0.572651
0.820086,-0.00691914,-0.0460777,0.57034
0.821844,-0.00682757,-0.0450888,0.567885
0.823564,-0.00677672,-0.0441212,0.565465
0.825198,-0.00677748,-0.043151,0.563152
0.825198,-0.00677748,-0.043151,0.563152
0.826871,-0.00670653,-0.0421561,0.56077
0.830373,-0.00644226,-0.0403843,0.555705
0.831984,-0.00639704,-0.0395192,0.553353
0.833616,-0.00630757,-0.0386123,0.550957
0.835367,-0.00614298,-0.0377522,0.548361
0.835367,-0.00614298,-0.0377522,0.548361
0.838728,-0.00598046,-0.0362069,0.543313
0.838728,-0.00598046,-0.0362069,0.543313
0.842153,-0.00567325,-0.0346201,0.538096
0.842153,-0.00567325,-0.0346201,0.538096
0.84557,-0.00544432,-0.0333088,0.532797
0.84557,-0.00544432,-0.0333088,0.532797
0.849005,-0.0051587,-0.0319405,0.527393
0.850788,-0.00501756,-0.0314133,0.524546
0.852467,-0.00495342,-0.0308797,0.521845
0.854159,-0.00485348,-0.0302978,0.519106
0.854159,-0.00485348,-0.0302978,0.519106
0.857791,-0.00449856,-0.0293354,0.51314
0.859501,-0.00445234,-0.028876,0.510299
0.859501,-0.00445234,-0.028876,0.510299
0.863095,-0.00420205,-0.0278748,0.504255
0.86496,-0.00407723,-0.0275115,0.50107
0.866736,-0.00403575,-0.0271337,0.498012
0.866736,-0.00403575,-0.0271337,0.498012
0.870454,-0.00377495,-0.0263463,0.49153
0.872348,-0.00367828,-0.0260931,0.488175
0.872348,-0.00367828,-0.0260931,0.488175
0.875975,-0.00360101,-0.0254123,0.481673
0.87791,-0.00345806,-0.0250828,0.478156
0.87791,-0.00345806,-0.0250828,0.478156
0.879815,-0.00338086,-0.0248382,0.474656
0.881621,-0.00338296,-0.0245716,0.471307
0.885368,-0.00322068,-0.0239661,0.464261
0.88726,-0.00315817,-0.0237595,0.460646
0.88907,-0.00317076,-0.0234871,0.457157
0.88907,-0.00317076,-0.0234871,0.457157
0.890907,-0.00311141,-0.0231467,0.453585
0.894675,-0.00302254,-0.0227474,0.446128
